instance_id;date;is_holiday;is_workingday;weather_condition;normalized_temp_actual;normalized_temp_feels_like;normalized_humidity;normalized_wind_speed;casual_users_cnt;registered_users_cnt
209;2011-07-28;No;Yes;clear;0.779167;0.7399;0.583333;0.178479;606;3784
282;2011-10-09;No;No;clear;0.540833;0.523983;0.7275;0.06345;2397;3114
210;2011-07-29;No;Yes;clear;0.838333;0.785967;0.5425;0.174138;670;3176
582;2012-08-04;No;No;clear;0.793333;0.751267;0.613333;0.257458;2345;4479
640;2012-10-01;No;Yes;misty;0.520833;0.512;0.649167;0.0908042;763;6015
329;2011-11-25;No;Yes;clear;0.375;0.380671;0.64375;0.0988958;1095;1697
432;2012-03-07;No;Yes;clear;0.404167;0.3851;0.513333;0.345779;432;4484
121;2011-05-01;No;No;misty;0.451667;0.448204;0.762083;0.106354;1138;2213
364;2011-12-30;No;Yes;clear;0.311667;0.318812;0.636667;0.134337;491;2508
426;2012-03-01;No;Yes;clear;0.485833;0.475371;0.615417;0.226987;325;4665
301;2011-10-28;No;Yes;misty;0.330833;0.318812;0.585833;0.229479;456;3291
68;2011-03-09;No;Yes;misty;0.295833;0.286608;0.775417;0.22015;191;1700
339;2011-12-05;No;Yes;misty;0.385833;0.393925;0.827083;0.0622083;233;3578
580;2012-08-02;No;Yes;clear;0.7525;0.707088;0.659583;0.129354;983;6278
67;2011-03-08;No;Yes;clear;0.2925;0.3024;0.420833;0.12065;316;1817
583;2012-08-05;No;No;clear;0.769167;0.731079;0.6525;0.290421;1707;3757
79;2011-03-20;No;No;clear;0.3325;0.32575;0.47375;0.207721;1047;1424
483;2012-04-27;No;Yes;clear;0.4575;0.452637;0.400833;0.347633;1014;5219
457;2012-04-01;No;No;misty;0.425833;0.417287;0.67625;0.172267;2347;3694
31;2011-01-31;No;Yes;misty;0.180833;0.18625;0.60375;0.187192;42;1459
636;2012-09-27;No;Yes;misty;0.65;0.607975;0.690833;0.134342;751;6642
34;2011-02-03;No;Yes;clear;0.186957;0.177878;0.437826;0.277752;61;1489
32;2011-02-01;No;Yes;misty;0.192174;0.23453;0.829565;0.053213;47;1313
40;2011-02-09;No;Yes;misty;0.134783;0.144283;0.494783;0.188839;53;1552
78;2011-03-19;No;No;clear;0.4725;0.466525;0.379167;0.368167;1424;1693
300;2011-10-27;No;Yes;misty;0.47;0.457046;0.812917;0.197763;240;2419
488;2012-05-02;No;Yes;clear;0.564167;0.537896;0.797083;0.138058;667;5502
630;2012-09-21;No;Yes;clear;0.599167;0.571971;0.66875;0.154229;1250;6917
517;2012-05-31;No;Yes;clear;0.68;0.631329;0.492917;0.195279;1100;6238
376;2012-01-11;No;Yes;misty;0.274167;0.282821;0.8475;0.131221;92;2085
452;2012-03-27;No;Yes;clear;0.323333;0.315654;0.29;0.187192;531;4571
512;2012-05-26;No;No;clear;0.6925;0.642696;0.7325;0.198992;2855;3681
235;2011-08-23;No;Yes;clear;0.640833;0.606067;0.455417;0.146763;1281;4614
362;2011-12-28;No;Yes;clear;0.29913;0.279974;0.503913;0.293961;255;2047
495;2012-05-09;No;Yes;misty;0.575;0.553025;0.744167;0.216412;620;4097
693;2012-11-23;No;Yes;clear;0.368333;0.378779;0.56875;0.148021;1603;2307
405;2012-02-09;No;Yes;clear;0.265;0.261988;0.562083;0.194037;163;3667
66;2011-03-07;No;Yes;clear;0.261739;0.238461;0.551304;0.341352;244;1628
524;2012-06-07;No;Yes;clear;0.6025;0.569442;0.567083;0.15735;1038;6456
520;2012-06-03;No;No;clear;0.6025;0.575133;0.493333;0.184087;2494;5147
255;2011-09-12;No;Yes;clear;0.644348;0.60213;0.692174;0.088913;690;4023
484;2012-04-28;No;No;misty;0.376667;0.377504;0.489583;0.129975;1120;3100
212;2011-07-31;No;No;clear;0.805833;0.729796;0.480833;0.164813;1524;2778
211;2011-07-30;No;No;clear;0.804167;0.728537;0.465833;0.168537;1559;2916
85;2011-03-26;No;No;clear;0.265833;0.257571;0.394167;0.209571;981;1515
240;2011-08-28;No;No;clear;0.707059;0.647959;0.561765;0.304659;1415;2919
410;2012-02-14;No;Yes;misty;0.319167;0.333946;0.50875;0.141179;135;3787
55;2011-02-24;No;Yes;misty;0.295652;0.289191;0.697391;0.250496;100;1707
721;2012-12-21;No;Yes;misty;0.326667;0.301767;0.556667;0.374383;221;3402
513;2012-05-27;No;No;clear;0.69;0.641425;0.697083;0.215171;3283;3308
110;2011-04-20;No;Yes;clear;0.595;0.564392;0.614167;0.241925;613;3331
588;2012-08-10;No;Yes;misty;0.715833;0.667942;0.715833;0.238813;1065;4721
363;2011-12-29;No;Yes;clear;0.248333;0.263892;0.574167;0.119412;254;2169
457;2012-04-01;No;No;misty;0.425833;0.417287;0.67625;0.172267;2347;3694
397;2012-02-01;No;Yes;clear;0.469167;0.466538;0.507917;0.189067;304;4275
529;2012-06-12;No;Yes;misty;0.653333;0.597875;0.833333;0.214546;477;4495
11;2011-01-11;No;Yes;misty;0.169091;0.191464;0.686364;0.122132;43;1220
193;2011-07-12;No;Yes;clear;0.794167;0.739275;0.559167;0.200254;662;3596
449;2012-03-24;No;No;misty;0.5025;0.486733;0.885417;0.192783;1033;2339
175;2011-06-24;No;Yes;clear;0.724167;0.656583;0.573333;0.222025;969;4022
429;2012-03-04;No;No;clear;0.325833;0.303021;0.403333;0.334571;710;2713
182;2011-07-01;No;Yes;clear;0.7225;0.652162;0.39625;0.102608;1246;4116
644;2012-10-05;No;Yes;clear;0.615;0.580187;0.6275;0.10635;1516;6640
156;2011-06-05;No;No;misty;0.648333;0.616804;0.6525;0.138692;1685;3221
310;2011-11-06;No;No;clear;0.348333;0.362358;0.734583;0.0920542;952;2697
66;2011-03-07;No;Yes;clear;0.261739;0.238461;0.551304;0.341352;244;1628
332;2011-11-28;No;Yes;clear;0.503478;0.490122;0.743043;0.142122;253;3614
138;2011-05-18;No;Yes;misty;0.55;0.527158;0.87;0.201492;536;3319
351;2011-12-17;No;No;misty;0.258333;0.249371;0.560833;0.243167;275;2464
82;2011-03-23;No;Yes;misty;0.346957;0.337939;0.839565;0.234261;203;1918
469;2012-04-13;No;Yes;clear;0.4425;0.431808;0.408333;0.155471;1252;5146
406;2012-02-10;No;Yes;misty;0.280833;0.293558;0.54;0.116929;227;3604
471;2012-04-15;No;No;clear;0.606667;0.573875;0.507917;0.225129;2846;4286
251;2011-09-08;No;Yes;light snow/rain;0.633913;0.555361;0.939565;0.192748;153;1689
491;2012-05-05;No;No;misty;0.621667;0.584608;0.756667;0.152992;2496;4387
221;2011-08-09;No;Yes;clear;0.775;0.724121;0.570417;0.151121;907;3695
77;2011-03-18;No;Yes;clear;0.54;0.527009;0.525217;0.231017;884;2355
549;2012-07-02;No;Yes;clear;0.781667;0.702038;0.447083;0.195267;904;5323
291;2011-10-18;No;Yes;misty;0.5325;0.522721;0.701667;0.110087;637;4111
73;2011-03-14;No;Yes;clear;0.325217;0.332;0.496957;0.136926;359;1687
245;2011-09-02;No;Yes;misty;0.643333;0.604808;0.727083;0.139929;875;3852
395;2012-01-30;No;Yes;clear;0.269167;0.262625;0.400833;0.215792;126;3498
621;2012-09-12;No;Yes;clear;0.599167;0.570075;0.577083;0.131846;1050;6820
64;2011-03-05;No;No;misty;0.384167;0.378779;0.789167;0.251871;640;1437
717;2012-12-17;No;Yes;misty;0.393333;0.4015;0.907083;0.0982583;212;4373
660;2012-10-21;No;No;clear;0.464167;0.456429;0.51;0.166054;2132;4692
315;2011-11-11;Yes;No;clear;0.324167;0.306817;0.44625;0.314675;440;2928
119;2011-04-29;No;Yes;clear;0.51;0.497463;0.457083;0.240063;878;3717
729;2012-12-29;No;No;misty;0.253333;0.2424;0.752917;0.124383;159;1182
50;2011-02-19;No;No;clear;0.399167;0.391404;0.187917;0.507463;532;1103
663;2012-10-24;No;Yes;clear;0.5875;0.558721;0.63625;0.0727792;795;6898
412;2012-02-16;No;Yes;misty;0.316667;0.330162;0.752917;0.091425;74;2931
606;2012-08-28;No;Yes;clear;0.728333;0.66605;0.62;0.190925;935;6105
228;2011-08-16;No;Yes;clear;0.700833;0.645837;0.578333;0.236329;721;4004
169;2011-06-18;No;No;clear;0.696667;0.643954;0.670417;0.119408;1807;3312
514;2012-05-28;Yes;No;clear;0.7125;0.6793;0.67625;0.196521;2557;3486
8;2011-01-08;No;No;misty;0.165;0.162254;0.535833;0.266804;68;891
197;2011-07-16;No;No;clear;0.686667;0.638263;0.585;0.208342;2418;3505
276;2011-10-03;No;Yes;misty;0.384167;0.392046;0.760833;0.0833458;330;3240
24;2011-01-24;No;Yes;clear;0.0973913;0.11793;0.491739;0.15833;86;1330
384;2012-01-19;No;Yes;clear;0.19;0.190038;0.4975;0.220158;130;3162
102;2011-04-12;No;Yes;misty;0.5025;0.493054;0.739167;0.274879;257;1777
481;2012-04-25;No;Yes;clear;0.476667;0.470317;0.427917;0.118792;655;5541
707;2012-12-07;No;Yes;misty;0.320833;0.321958;0.764167;0.1306;349;4659
260;2011-09-17;No;No;misty;0.491667;0.478512;0.718333;0.189675;1434;3077
194;2011-07-13;No;Yes;clear;0.746667;0.689404;0.631667;0.146133;748;3594
550;2012-07-03;No;Yes;clear;0.780833;0.70265;0.492083;0.126237;1052;5608
3;2011-01-03;No;Yes;clear;0.196364;0.189405;0.437273;0.248309;120;1229
216;2011-08-04;No;Yes;misty;0.71;0.664788;0.7575;0.19715;799;3777
383;2012-01-18;No;Yes;clear;0.303333;0.275254;0.443333;0.415429;109;3267
649;2012-10-10;No;Yes;clear;0.514167;0.503142;0.630833;0.187821;780;6911
607;2012-08-29;No;Yes;clear;0.685;0.635733;0.552083;0.112562;1177;6520
715;2012-12-15;No;No;clear;0.324167;0.338383;0.650417;0.10635;767;4280
704;2012-12-04;No;Yes;clear;0.475833;0.469054;0.73375;0.174129;551;6055
692;2012-11-22;Yes;No;clear;0.34;0.350371;0.580417;0.0528708;955;1470
604;2012-08-26;No;No;misty;0.653333;0.595996;0.845833;0.228858;1483;3772
618;2012-09-09;No;No;clear;0.61;0.578925;0.5475;0.224496;2570;5657
80;2011-03-21;No;Yes;misty;0.430435;0.409735;0.737391;0.288783;401;1676
695;2012-11-25;No;No;clear;0.245833;0.257583;0.468333;0.1505;309;2115
434;2012-03-09;No;Yes;misty;0.410833;0.397083;0.407083;0.4148;447;4122
487;2012-05-01;No;Yes;misty;0.613333;0.577021;0.659583;0.156096;653;5087
678;2012-11-08;No;Yes;clear;0.352174;0.341891;0.333478;0.347835;340;4975
134;2011-05-14;No;No;misty;0.520833;0.500629;0.9225;0.13495;902;2507
219;2011-08-07;No;No;clear;0.7425;0.715292;0.752917;0.201487;1298;2487
56;2011-02-25;No;Yes;misty;0.364348;0.350461;0.712174;0.346539;120;1341
726;2012-12-26;No;Yes;light snow/rain;0.243333;0.220333;0.823333;0.316546;9;432
356;2011-12-22;No;Yes;misty;0.423333;0.426121;0.7575;0.047275;227;2841
535;2012-06-18;No;Yes;misty;0.568333;0.544842;0.777917;0.174746;653;4446
345;2011-12-11;No;No;clear;0.220833;0.253154;0.49;0.0665417;377;2366
297;2011-10-24;No;Yes;clear;0.463333;0.457067;0.772083;0.118792;699;3488
463;2012-04-07;No;No;clear;0.4375;0.426129;0.254167;0.274871;3252;3605
61;2011-03-02;No;Yes;clear;0.335;0.320071;0.449583;0.307833;231;1903
619;2012-09-10;No;Yes;clear;0.583333;0.565654;0.50375;0.258713;1118;6407
347;2011-12-13;No;Yes;clear;0.2825;0.301138;0.59;0.14055;155;3368
295;2011-10-22;No;No;clear;0.4225;0.425492;0.629167;0.0926667;1499;2809
232;2011-08-20;No;No;clear;0.6975;0.648996;0.674167;0.104467;1914;3277
341;2011-12-07;No;Yes;light snow/rain;0.41;0.400246;0.970417;0.266175;50;655
536;2012-06-19;No;Yes;clear;0.688333;0.654692;0.69;0.148017;968;5857
307;2011-11-03;No;Yes;clear;0.408333;0.405921;0.702083;0.136817;318;3656
719;2012-12-19;No;Yes;clear;0.3325;0.342162;0.625417;0.184092;333;4934
91;2011-04-01;No;Yes;misty;0.3;0.283454;0.68625;0.258708;307;1920
378;2012-01-13;No;Yes;clear;0.274167;0.249362;0.5075;0.378108;174;3040
236;2011-08-24;No;Yes;clear;0.673333;0.630692;0.605;0.253108;949;4181
159;2011-06-08;No;Yes;clear;0.775833;0.727279;0.622083;0.136817;676;3725
70;2011-03-11;No;Yes;misty;0.316522;0.305;0.649565;0.23297;247;1730
261;2011-09-18;No;No;clear;0.5075;0.490537;0.695;0.178483;1353;2921
132;2011-05-12;No;Yes;clear;0.535;0.523363;0.7475;0.189667;695;4169
45;2011-02-14;No;Yes;clear;0.415;0.39835;0.375833;0.417908;208;1705
71;2011-03-12;No;No;clear;0.329167;0.32575;0.594583;0.220775;724;1408
265;2011-09-22;No;Yes;misty;0.628333;0.554963;0.902083;0.128125;555;4240
674;2012-11-04;No;No;clear;0.325833;0.329538;0.532917;0.179108;1201;3906
287;2011-10-14;No;Yes;misty;0.550833;0.529675;0.71625;0.223883;529;3115
641;2012-10-02;No;Yes;light snow/rain;0.590833;0.542333;0.871667;0.104475;315;4324
136;2011-05-16;No;Yes;clear;0.5775;0.550512;0.787917;0.126871;773;3185
67;2011-03-08;No;Yes;clear;0.2925;0.3024;0.420833;0.12065;316;1817
166;2011-06-15;No;Yes;clear;0.626667;0.587754;0.471667;0.167912;769;4411
165;2011-06-14;No;Yes;clear;0.604167;0.591546;0.507083;0.269283;727;4164
29;2011-01-29;No;No;clear;0.196522;0.212126;0.651739;0.145365;123;975
609;2012-08-31;No;Yes;clear;0.764167;0.6894;0.5875;0.168533;1433;5917
584;2012-08-06;No;Yes;misty;0.7525;0.710246;0.654167;0.129354;1233;5780
79;2011-03-20;No;No;clear;0.3325;0.32575;0.47375;0.207721;1047;1424
293;2011-10-20;No;Yes;clear;0.475833;0.466525;0.63625;0.422275;471;3724
137;2011-05-17;No;Yes;misty;0.561667;0.538529;0.837917;0.277354;678;3445
433;2012-03-08;No;Yes;clear;0.5275;0.524604;0.5675;0.441563;486;4896
555;2012-07-08;No;No;clear;0.8225;0.790396;0.57375;0.125629;1203;3469
320;2011-11-16;No;Yes;light snow/rain;0.456667;0.451988;0.93;0.136829;145;1672
595;2012-08-17;No;Yes;clear;0.723333;0.2424;0.570833;0.231354;1483;5665
7;2011-01-07;No;Yes;misty;0.196522;0.208839;0.498696;0.168726;148;1362
616;2012-09-07;No;Yes;clear;0.703333;0.657204;0.73625;0.171646;1045;6459
358;2011-12-24;No;No;clear;0.3025;0.299242;0.5425;0.190304;155;856
74;2011-03-15;No;Yes;misty;0.317391;0.318178;0.655652;0.184309;289;1767
353;2011-12-19;No;Yes;clear;0.276667;0.280933;0.6375;0.172896;260;3143
498;2012-05-12;No;No;clear;0.564167;0.544817;0.480417;0.123133;2622;4807
146;2011-05-26;No;Yes;clear;0.708333;0.654688;0.6775;0.199642;758;3919
515;2012-05-29;No;Yes;clear;0.7225;0.672992;0.684583;0.2954;880;4863
292;2011-10-19;No;Yes;light snow/rain;0.541739;0.513848;0.895217;0.243339;254;2170
133;2011-05-13;No;Yes;misty;0.5125;0.4943;0.863333;0.179725;692;3413
560;2012-07-13;No;Yes;misty;0.731667;0.667933;0.485833;0.08085;1511;5988
632;2012-09-23;No;No;clear;0.529167;0.518933;0.467083;0.223258;2454;5453
720;2012-12-20;No;Yes;misty;0.33;0.335217;0.667917;0.132463;314;3814
396;2012-01-31;No;Yes;clear;0.39;0.381317;0.416667;0.261817;324;4185
42;2011-02-11;No;Yes;clear;0.189091;0.213509;0.506364;0.10855;149;1597
638;2012-09-29;No;No;clear;0.5425;0.530296;0.542917;0.227604;2589;5966
109;2011-04-19;No;Yes;misty;0.505833;0.489258;0.665833;0.157971;409;2795
482;2012-04-26;No;Yes;misty;0.498333;0.483583;0.756667;0.176625;475;4551
57;2011-02-26;No;No;clear;0.2825;0.282192;0.537917;0.186571;424;1545
324;2011-11-20;No;No;misty;0.463333;0.457058;0.684583;0.18595;787;2733
686;2012-11-16;No;Yes;clear;0.345;0.347204;0.524583;0.171025;484;5214
633;2012-09-24;No;Yes;clear;0.514167;0.502513;0.492917;0.142404;1001;6435
573;2012-07-26;No;Yes;clear;0.776667;0.739263;0.596667;0.284813;1036;5825
530;2012-06-13;No;Yes;clear;0.655833;0.611117;0.582083;0.343279;1173;6248
25;2011-01-25;No;Yes;misty;0.223478;0.234526;0.616957;0.129796;186;1799
466;2012-04-10;No;Yes;clear;0.446667;0.436233;0.435;0.249375;819;5099
248;2011-09-05;Yes;No;misty;0.673333;0.625646;0.790417;0.212696;1236;2115
444;2012-03-19;No;Yes;clear;0.545;0.532821;0.72875;0.162317;982;5171
352;2011-12-18;No;No;clear;0.238333;0.245579;0.58625;0.169779;220;2211
328;2011-11-24;Yes;No;clear;0.373333;0.372471;0.549167;0.167304;560;935
111;2011-04-21;No;Yes;clear;0.459167;0.453892;0.407083;0.325258;745;3444
83;2011-03-24;No;Yes;misty;0.285;0.270833;0.805833;0.243787;166;1699
52;2011-02-21;Yes;No;misty;0.303333;0.284075;0.605;0.307846;195;912
450;2012-03-25;No;No;misty;0.4375;0.437488;0.880833;0.220775;1532;3464
287;2011-10-14;No;Yes;misty;0.550833;0.529675;0.71625;0.223883;529;3115
704;2012-12-04;No;Yes;clear;0.475833;0.469054;0.73375;0.174129;551;6055
620;2012-09-11;No;Yes;clear;0.5775;0.554292;0.52;0.0920542;1070;6697
199;2011-07-18;No;Yes;clear;0.746667;0.703925;0.65125;0.215804;841;3617
539;2012-06-22;No;Yes;clear;0.7775;0.724121;0.57375;0.182842;964;4859
330;2011-11-26;No;No;clear;0.375833;0.385087;0.681667;0.0684208;1249;1819
303;2011-10-30;No;No;clear;0.319167;0.321329;0.62375;0.176617;885;2446
335;2011-12-01;No;Yes;clear;0.3125;0.305554;0.524583;0.220158;182;3545
140;2011-05-20;No;Yes;clear;0.536667;0.529042;0.719583;0.125013;909;4008
486;2012-04-30;No;Yes;misty;0.464167;0.457696;0.57;0.171638;665;4907
548;2012-07-01;No;No;clear;0.815833;0.750629;0.51875;0.168529;1421;4110
19;2011-01-19;No;Yes;misty;0.292174;0.298422;0.741739;0.208317;78;1572
594;2012-08-16;No;Yes;clear;0.719167;0.654688;0.519167;0.141796;1338;6267
141;2011-05-21;No;No;clear;0.6025;0.571975;0.626667;0.12065;2258;3547
327;2011-11-23;No;Yes;misty;0.440833;0.430537;0.757917;0.335825;112;2454
267;2011-09-24;No;No;misty;0.606667;0.564412;0.8625;0.0783833;1776;3647
627;2012-09-18;No;Yes;misty;0.623333;0.565067;0.8725;0.357587;371;3702
84;2011-03-25;No;Yes;clear;0.264167;0.256312;0.495;0.230725;300;1910
62;2011-03-03;No;Yes;clear;0.198333;0.200133;0.318333;0.225754;123;1562
633;2012-09-24;No;Yes;clear;0.514167;0.502513;0.492917;0.142404;1001;6435
634;2012-09-25;No;Yes;clear;0.55;0.544179;0.57;0.236321;845;6693
30;2011-01-30;No;No;clear;0.216522;0.250322;0.722174;0.0739826;140;956
336;2011-12-02;No;Yes;clear;0.314167;0.331433;0.625833;0.100754;268;3672
600;2012-08-22;No;Yes;clear;0.6675;0.621854;0.677083;0.0702833;1094;6281
558;2012-07-11;No;Yes;clear;0.716667;0.650271;0.633333;0.151733;975;6289
312;2011-11-08;No;Yes;clear;0.408333;0.412246;0.721667;0.0690375;376;3829
430;2012-03-05;No;Yes;clear;0.243333;0.241171;0.50625;0.228858;203;3130
183;2011-07-02;No;No;clear;0.738333;0.667308;0.444583;0.115062;2204;2915
587;2012-08-09;No;Yes;clear;0.755833;0.699508;0.620417;0.1561;1196;6090
680;2012-11-10;No;No;clear;0.389167;0.393937;0.645417;0.0578458;2090;4446
465;2012-04-09;No;Yes;clear;0.489167;0.476638;0.3175;0.358196;905;4680
224;2011-08-12;No;Yes;clear;0.708333;0.654042;0.415;0.125621;1051;3854
394;2012-01-29;No;No;clear;0.2825;0.272721;0.31125;0.24005;558;2685
449;2012-03-24;No;No;misty;0.5025;0.486733;0.885417;0.192783;1033;2339
571;2012-07-24;No;Yes;clear;0.750833;0.70645;0.655;0.211454;1140;6452
672;2012-11-02;No;Yes;clear;0.355;0.356042;0.522083;0.266175;618;5229
413;2012-02-17;No;Yes;clear;0.343333;0.351629;0.634583;0.205846;349;3805
55;2011-02-24;No;Yes;misty;0.295652;0.289191;0.697391;0.250496;100;1707
177;2011-06-26;No;No;clear;0.68;0.637629;0.513333;0.0945333;1920;3385
526;2012-06-09;No;No;clear;0.710833;0.648367;0.437083;0.144287;2708;4790
334;2011-11-30;No;Yes;clear;0.325;0.311221;0.613333;0.271158;188;3425
164;2011-06-13;No;Yes;clear;0.635;0.601654;0.494583;0.30535;863;4157
249;2011-09-06;No;Yes;light snow/rain;0.54;0.5152;0.886957;0.343943;204;2506
683;2012-11-13;No;Yes;misty;0.343333;0.323225;0.662917;0.342046;327;3767
75;2011-03-16;No;Yes;misty;0.365217;0.36693;0.776522;0.203117;321;1871
440;2012-03-15;No;Yes;clear;0.5575;0.532825;0.579583;0.149883;1005;5187
644;2012-10-05;No;Yes;clear;0.615;0.580187;0.6275;0.10635;1516;6640
105;2011-04-15;Yes;No;clear;0.446667;0.441913;0.67125;0.226375;642;2484
115;2011-04-25;No;Yes;clear;0.606667;0.5745;0.776667;0.185333;773;3300
182;2011-07-01;No;Yes;clear;0.7225;0.652162;0.39625;0.102608;1246;4116
93;2011-04-03;No;No;clear;0.378333;0.378767;0.48;0.182213;1651;1598
381;2012-01-16;Yes;No;clear;0.19;0.190663;0.5225;0.231358;217;2081
90;2011-03-31;No;Yes;light snow/rain;0.268333;0.257575;0.918333;0.217646;179;1506
418;2012-02-22;No;Yes;clear;0.395833;0.392667;0.567917;0.234471;394;4379
478;2012-04-22;No;No;light snow/rain;0.396667;0.389504;0.835417;0.344546;120;907
714;2012-12-14;No;Yes;clear;0.281667;0.294192;0.642917;0.131229;429;5182
708;2012-12-08;No;No;misty;0.381667;0.389508;0.91125;0.101379;1153;4429
507;2012-05-21;No;Yes;misty;0.598333;0.565667;0.81125;0.233204;630;3729
12;2011-01-12;No;Yes;clear;0.172727;0.160473;0.599545;0.304627;25;1137
44;2011-02-13;No;No;clear;0.316522;0.324113;0.457391;0.260883;397;1192
43;2011-02-12;No;No;clear;0.2225;0.232954;0.544167;0.203367;288;1184
168;2011-06-17;No;Yes;clear;0.649167;0.600383;0.735833;0.143029;863;3981
676;2012-11-06;No;Yes;clear;0.280833;0.281567;0.567083;0.173513;466;5220
667;2012-10-28;No;No;misty;0.4775;0.467771;0.694583;0.398008;998;3461
382;2012-01-17;No;Yes;misty;0.373043;0.364278;0.716087;0.34913;127;2808
179;2011-06-28;No;Yes;clear;0.744167;0.692558;0.634167;0.144283;732;3916
706;2012-12-06;No;Yes;clear;0.255833;0.258204;0.50875;0.174754;340;5035
519;2012-06-02;No;No;clear;0.583333;0.566288;0.549167;0.186562;2795;5325
178;2011-06-27;No;Yes;misty;0.6825;0.637004;0.658333;0.107588;854;3854
533;2012-06-16;No;No;clear;0.631667;0.594708;0.504167;0.166667;2963;4739
540;2012-06-23;No;No;clear;0.731667;0.652792;0.534583;0.179721;2657;4801
258;2011-09-15;No;Yes;misty;0.5775;0.553671;0.709167;0.271146;428;3231
617;2012-09-08;No;No;misty;0.659167;0.611121;0.799167;0.281104;1557;4419
441;2012-03-16;No;Yes;misty;0.435833;0.436229;0.842083;0.113192;548;3830
16;2011-01-16;No;No;clear;0.231667;0.234217;0.48375;0.188433;251;953
479;2012-04-23;No;Yes;misty;0.321667;0.301125;0.766667;0.303496;195;3019
257;2011-09-14;No;Yes;clear;0.673333;0.6269;0.697083;0.1673;647;4138
389;2012-01-24;No;Yes;clear;0.3425;0.349108;0.835833;0.123767;439;3900
361;2011-12-27;No;Yes;misty;0.325;0.327633;0.7625;0.18845;103;1059
368;2012-01-03;No;Yes;clear;0.15;0.126275;0.44125;0.365671;89;2147
447;2012-03-22;No;Yes;clear;0.554167;0.531567;0.83125;0.117562;1334;5537
590;2012-08-12;No;No;clear;0.700833;0.644579;0.530417;0.122512;2182;4362
343;2011-12-09;No;Yes;clear;0.290833;0.317542;0.695833;0.0827167;261;3359
454;2012-03-29;No;Yes;clear;0.494167;0.482304;0.439167;0.31965;834;5299
427;2012-03-02;No;Yes;misty;0.353333;0.359842;0.657083;0.144904;246;2948
10;2011-01-10;No;Yes;clear;0.150833;0.150888;0.482917;0.223267;41;1280
250;2011-09-07;No;Yes;light snow/rain;0.599167;0.544229;0.917083;0.0970208;118;1878
23;2011-01-23;No;No;clear;0.0965217;0.0988391;0.436522;0.2466;150;836
222;2011-08-10;No;Yes;clear;0.766667;0.684983;0.424167;0.200258;884;3896
527;2012-06-10;No;No;clear;0.726667;0.663517;0.538333;0.133721;2224;4374
607;2012-08-29;No;Yes;clear;0.685;0.635733;0.552083;0.112562;1177;6520
546;2012-06-29;No;Yes;clear;0.834167;0.786613;0.48875;0.165417;829;4634
425;2012-02-29;No;Yes;misty;0.344348;0.34847;0.804783;0.179117;65;1769
645;2012-10-06;No;No;clear;0.554167;0.538521;0.664167;0.268025;3031;4934
204;2011-07-23;No;No;clear;0.849167;0.804287;0.5;0.131221;987;2298
501;2012-05-15;No;Yes;misty;0.611667;0.576404;0.794583;0.147392;625;4490
94;2011-04-04;No;Yes;clear;0.573333;0.542929;0.42625;0.385571;734;2381
370;2012-01-05;No;Yes;clear;0.265833;0.278412;0.524167;0.129987;140;3132
333;2011-11-29;No;Yes;misty;0.458333;0.451375;0.830833;0.258092;96;2818
